imagen-src,nombre,precio
https://cdn.media.amplience.net/i/primark/991072411102_01,Difusor de aroma en varillas,"3,50€"
https://cdn.media.amplience.net/i/primark/991072411305_01,Difusor de aroma en varillas,"3,50€"
https://cdn.media.amplience.net/i/primark/991070341002_01,Espray perfumado para tejidos,"4,50€"
https://cdn.media.amplience.net/i/primark/991087438002_01,Vela de tres mechas en tarro de vidrio estriado,"7,00€"
https://cdn.media.amplience.net/i/primark/991074559804_01,Minivela perfumada en frasco de vidrio,"1,30€"
https://cdn.media.amplience.net/i/primark/991070341804_01,Espray perfumado para tejidos,"4,50€"
https://cdn.media.amplience.net/i/primark/991080810804_01,Vela perfumada de mecha múltiple,"13,00€"
https://cdn.media.amplience.net/i/primark/991087435606_01,Vela en recipiente de vidrio con forma de glúteos,"6,00€"
https://cdn.media.amplience.net/i/primark/991087450505_01,Portavelas de vidrio martillado,"2,50€"
https://cdn.media.amplience.net/i/primark/991087438505_01,Vela de tres mechas en tarro de vidrio estriado,"7,00€"
https://cdn.media.amplience.net/i/primark/991081074616_01,Vela de bañera con aroma,"3,50€"
https://cdn.media.amplience.net/i/primark/991087452414_01,Vela en tarro de vidrio cuadrado tintado,"3,50€"
https://cdn.media.amplience.net/i/primark/991087452606_01,Vela en tarro de vidrio cuadrado tintado,"3,50€"
https://cdn.media.amplience.net/i/primark/991087485606_01,Difusor con varillas en tarro de vidrio cuadrado,"5,00€"
https://cdn.media.amplience.net/i/primark/991088278002_01,Gotas perfumadas de aceite esencial,"1,30€"
https://cdn.media.amplience.net/i/primark/991080810002_01,Vela perfumada de mecha múltiple,"13,00€"
https://cdn.media.amplience.net/i/primark/991087700414_01,Portavelas en forma de flor,"1,50€"
https://cdn.media.amplience.net/i/primark/991087452804_01,Vela en tarro de vidrio cuadrado tintado,"3,50€"
https://cdn.media.amplience.net/i/primark/991074578804_01,Vela aromática hexagonal,"3,50€"
https://cdn.media.amplience.net/i/primark/991081111804_01,Vela perfumada en tarro,"3,50€"
https://cdn.media.amplience.net/i/primark/991088272002_01,Difusor con varillas «Harmony»,"7,00€"
https://cdn.media.amplience.net/i/primark/991074578305_01,Vela aromática hexagonal,"3,50€"
https://cdn.media.amplience.net/i/primark/991088189414_01,Vela de bienestar perfumada,"5,00€"
https://cdn.media.amplience.net/i/primark/991081111002_01,Vela perfumada en tarro,"3,50€"